temp,wind_speed,precip_prob,visibility,humidity,is_day,wind_gust,gust_delta,apparent_temp,ride_score
55.3,3.4,25.6,2.36,90.4,0.0,7.7,4.2,55.3,42.8
67.6,2.8,40.5,5.15,45.2,1.0,4.3,1.6,67.6,73.5
73.8,9.5,6.5,10.0,39.2,0.0,16.9,7.4,73.8,76.1
75.8,4.9,5.2,10.0,68.3,1.0,7.2,2.2,75.8,100.0
60.0,14.7,24.3,9.87,42.6,1.0,19.0,4.2,60.0,80.7
60.0,17.6,33.4,9.83,46.6,1.0,32.1,14.5,60.0,56.6
85.5,4.9,3.1,10.0,45.6,1.0,7.3,2.4,86.0,79.4
94.3,5.9,44.2,7.91,77.8,1.0,8.0,2.1,128.2,2.614357646862219
95.3,11.0,30.0,7.16,76.2,1.0,15.1,4.2,130.6,4.322372254322458
82.8,9.5,20.6,9.83,59.8,1.0,14.4,4.9,85.6,68.6
71.6,6.5,2.2,10.0,36.1,0.0,10.6,4.1,71.6,76.4
91.6,6.1,23.1,10.0,82.6,0.0,10.9,4.8,121.9,25.6
76.5,2.8,8.7,10.0,51.8,0.0,4.6,1.8,76.5,76.9
64.5,6.3,28.0,10.0,57.6,1.0,10.0,3.6,64.5,83.8
57.7,4.4,25.4,8.84,43.7,1.0,9.4,5.0,57.7,75.9
49.3,4.1,2.7,9.19,36.6,1.0,6.1,1.9,47.9,61.6
40.1,11.6,25.6,10.0,62.8,0.0,21.3,9.6,33.1,30.5
67.3,4.6,10.1,2.81,91.5,1.0,12.6,8.0,67.3,76.6
66.5,15.5,0.0,9.09,55.6,0.0,23.8,8.3,66.5,67.7
59.3,10.2,6.8,9.9,53.2,0.0,16.6,6.4,59.3,68.2
79.8,12.4,12.0,8.19,42.9,1.0,19.9,7.5,79.8,90.0
52.0,8.8,24.9,7.55,67.8,1.0,12.4,3.6,52.0,70.7
67.6,6.6,7.1,9.78,51.5,1.0,9.1,2.5,67.6,100.0
63.8,16.4,44.8,1.92,78.8,1.0,21.4,5.0,63.8,39.2
74.8,4.1,6.8,10.0,49.7,1.0,10.0,5.9,74.8,100.0
75.1,0.0,18.3,9.08,42.9,1.0,0.6,0.6,75.1,88.5
105.5,8.7,35.0,7.57,81.4,1.0,11.8,3.1,192.4,7.233946331260521
53.8,14.9,10.8,6.77,43.6,1.0,18.3,3.4,53.8,77.9
40.4,19.2,19.3,10.0,57.9,1.0,30.0,10.8,31.2,21.7
21.9,7.1,3.4,6.12,38.6,0.0,10.4,3.3,13.2,28.8
73.2,5.7,9.3,9.41,67.5,1.0,7.7,2.0,73.2,98.9
77.0,10.5,10.0,10.0,42.4,1.0,21.4,10.9,77.0,100.0
82.4,6.7,11.4,10.0,40.0,1.0,13.5,6.8,81.8,90.6
75.4,13.2,61.2,5.19,99.0,1.0,21.1,7.8,75.4,58.6
66.6,7.4,4.5,4.69,61.4,1.0,10.0,2.6,66.6,92.9
62.9,20.7,83.9,3.81,93.1,1.0,28.0,7.3,62.9,25.0
69.6,6.7,15.0,10.0,54.4,1.0,9.4,2.7,69.6,88.2
70.2,8.0,2.4,10.0,49.6,1.0,14.0,6.0,70.2,97.6
51.0,7.4,26.5,3.08,77.2,1.0,14.0,6.6,51.0,47.2
50.8,2.2,13.8,10.0,31.2,1.0,3.2,0.9,50.8,78.8
66.4,43.8,4.7,10.0,35.1,1.0,70.4,26.6,66.4,7.508684766228042
61.9,3.6,5.5,6.97,60.5,1.0,5.6,2.0,61.9,89.6
54.5,7.2,49.9,0.5,98.9,0.0,9.2,1.9,54.5,12.4
95.3,12.5,8.9,9.3,73.6,1.0,23.3,10.8,127.6,5.58266228404136
66.8,4.9,8.7,8.43,69.6,0.0,8.5,3.6,66.8,80.3
52.8,10.3,43.1,6.84,55.9,0.0,14.7,4.4,52.8,40.8
81.7,13.9,0.0,9.54,59.8,1.0,19.0,5.1,83.9,88.7
45.1,11.0,7.4,8.1,37.2,1.0,17.4,6.4,39.5,55.7
78.6,6.0,15.1,10.0,34.8,1.0,10.2,4.1,78.6,79.1
93.3,6.0,18.9,8.77,70.9,1.0,8.4,2.4,117.5,37.0
70.6,6.5,8.7,10.0,52.8,0.0,12.2,5.7,70.6,77.2
82.2,7.3,8.4,10.0,38.7,1.0,9.8,2.5,81.5,90.0
89.8,6.9,10.7,9.67,61.3,0.0,9.3,2.4,99.9,44.2
56.4,3.8,70.4,7.18,97.5,1.0,6.0,2.2,56.4,55.8
53.1,4.7,26.9,3.36,95.9,1.0,7.4,2.7,53.1,42.6
90.2,6.1,15.8,10.0,53.7,1.0,9.6,3.5,96.8,52.8
44.1,24.0,5.9,5.64,19.0,0.0,44.4,20.4,35.0,10.4
73.4,24.8,24.5,6.93,45.1,1.0,34.6,9.8,73.4,71.9
43.9,3.2,27.2,5.34,81.8,0.0,5.0,1.8,42.6,26.8
52.1,14.5,23.3,5.06,87.0,1.0,19.1,4.7,52.1,57.3
79.9,9.8,11.4,10.0,33.0,1.0,17.2,7.4,79.9,87.3
66.4,11.6,8.1,9.37,62.8,1.0,14.6,3.0,66.4,99.3
-11.3,13.0,0.0,6.86,64.4,1.0,18.5,5.5,-32.5,0.22611760839982153
51.0,6.7,38.3,0.51,91.3,0.0,10.4,3.7,51.0,22.6
45.2,13.6,6.9,8.07,45.4,1.0,17.8,4.2,38.9,56.1
68.8,6.1,11.1,10.0,34.8,1.0,9.0,2.9,68.8,100.0
44.6,21.0,0.0,8.4,30.0,0.0,34.0,13.0,36.3,20.8
92.9,11.2,34.5,10.0,82.7,1.0,19.0,7.9,127.5,5.419145039110982
60.3,13.1,11.7,10.0,44.8,1.0,16.5,3.4,60.3,88.7
71.6,16.0,63.5,0.1,86.1,0.0,20.6,4.6,71.6,2.2394986375352532
32.6,10.4,20.1,3.89,24.8,0.0,14.2,3.8,24.3,12.9
45.8,11.0,18.5,10.0,42.7,1.0,14.6,3.6,40.4,49.1
73.8,25.0,25.8,7.92,39.4,1.0,35.7,10.7,73.8,57.8
74.9,32.9,4.8,5.84,35.4,1.0,52.0,19.1,74.9,48.0
65.9,4.6,0.0,8.28,47.6,0.0,8.1,3.5,65.9,78.6
48.8,16.4,21.2,7.49,52.1,1.0,21.3,4.9,42.7,38.3
80.9,3.1,13.7,7.86,64.6,1.0,4.7,1.6,83.6,87.8
60.9,13.6,38.5,7.67,73.1,1.0,17.5,3.9,60.9,75.3
87.4,6.7,6.5,9.84,49.1,1.0,10.0,3.3,89.7,81.4
80.6,8.7,6.4,8.73,64.3,1.0,12.0,3.3,83.1,92.0
66.9,12.4,46.3,6.36,62.1,1.0,17.3,4.9,66.9,80.0
84.9,19.6,19.2,7.86,45.7,1.0,25.6,5.9,85.3,57.1
91.3,5.4,47.0,7.06,84.5,1.0,8.6,3.2,122.6,20.0
81.8,4.1,11.0,9.37,20.2,1.0,9.4,5.3,79.8,87.9
85.5,15.0,14.6,10.0,61.3,1.0,20.7,5.8,90.7,65.4
61.2,17.7,12.7,7.03,48.8,1.0,22.3,4.6,61.2,76.3
84.4,1.8,5.5,9.9,52.0,1.0,3.9,2.0,86.0,77.5
99.8,0.4,26.0,5.76,63.2,1.0,1.7,1.3,132.8,3.0134115234356997
74.3,6.9,7.0,8.69,46.9,0.0,13.2,6.3,74.3,76.4
68.9,1.8,3.9,9.4,34.8,0.0,2.9,1.0,68.9,76.8
37.8,5.2,4.2,3.9,49.9,1.0,14.5,9.3,33.8,38.8
51.0,9.4,20.0,9.32,70.7,1.0,17.6,8.2,51.0,68.7
56.6,11.0,29.9,5.37,43.5,0.0,17.3,6.3,56.6,54.4
51.0,12.6,28.1,8.97,44.3,0.0,18.9,6.3,51.0,52.2
83.2,4.7,15.6,10.0,67.8,0.0,9.7,4.9,88.1,56.4
29.9,0.0,34.7,5.35,59.7,1.0,0.1,0.1,29.9,20.4
53.5,11.4,36.2,9.61,72.7,1.0,21.2,9.8,53.5,64.1
48.2,11.6,62.0,6.37,66.5,0.0,17.7,6.1,43.3,25.0
81.2,6.5,4.6,9.09,38.0,1.0,7.9,1.4,80.6,87.7
89.2,10.5,47.6,7.94,82.8,0.0,21.8,11.3,112.3,13.5
69.3,28.3,16.8,7.36,43.8,1.0,38.7,10.5,69.3,59.8
77.1,3.6,14.3,10.0,45.9,1.0,5.5,1.9,77.1,100.0
67.9,0.0,0.0,10.0,45.3,1.0,2.1,2.1,67.9,100.0
57.4,9.8,61.4,0.85,52.2,0.0,14.9,5.1,57.4,26.0
64.4,15.8,19.6,6.5,47.8,1.0,22.2,6.4,64.4,77.3
76.1,11.0,10.2,10.0,43.0,1.0,17.4,6.4,76.1,99.5
40.7,14.0,54.7,6.91,68.7,1.0,17.8,3.8,33.0,33.9
69.0,6.0,13.5,10.0,38.9,0.0,10.0,4.0,69.0,80.2
57.6,13.4,15.3,6.11,57.5,0.0,17.7,4.2,57.6,61.7
89.3,14.6,21.1,6.48,76.5,1.0,21.8,7.1,108.4,35.4
84.8,15.3,9.6,8.49,60.5,1.0,31.9,16.6,89.0,59.9
88.2,7.6,33.0,9.17,82.5,1.0,9.5,1.9,108.5,29.2
74.2,5.5,10.6,8.19,65.4,0.0,11.1,5.6,74.2,75.1
102.1,1.6,6.2,7.89,59.4,1.0,2.5,0.8,136.4,2.9000158762521053
71.9,4.9,14.3,10.0,55.8,1.0,8.6,3.6,71.9,99.8
50.2,10.8,81.6,5.57,92.9,1.0,13.6,2.8,50.2,32.8
77.4,6.5,3.7,10.0,47.3,1.0,9.8,3.3,77.4,98.2
64.4,22.3,59.2,3.31,97.5,1.0,33.8,11.5,64.4,35.6
49.6,10.4,32.1,10.0,46.9,1.0,13.6,3.2,45.3,44.8
76.7,13.1,16.7,8.99,40.7,0.0,19.9,6.8,76.7,68.4
42.0,9.8,37.5,7.57,70.8,1.0,14.7,4.9,36.2,39.7
97.8,5.7,17.4,7.98,90.2,1.0,7.7,2.0,162.5,3.592310143441007
44.8,12.5,12.3,5.47,77.3,0.0,17.9,5.4,38.8,40.4
76.6,8.3,18.2,8.53,53.5,0.0,12.3,4.0,76.6,71.3
61.0,15.7,18.8,8.49,58.1,1.0,21.2,5.5,61.0,65.5
66.9,16.1,38.7,8.83,65.9,1.0,26.3,10.2,66.9,71.3
102.5,3.6,19.5,4.04,75.6,1.0,4.9,1.3,163.5,0.38955878719943815
58.7,14.4,73.9,0.1,94.0,0.0,19.9,5.6,58.7,7.160533783489713
52.7,9.2,4.7,9.79,29.5,1.0,22.4,13.2,52.7,69.9
69.3,5.0,0.0,9.77,53.7,1.0,9.3,4.3,69.3,99.7
81.5,9.2,4.8,9.25,45.0,1.0,17.2,8.0,81.6,87.4
68.1,18.5,80.3,1.12,85.3,1.0,24.7,6.1,68.1,30.4
38.1,9.4,30.0,7.8,37.4,0.0,14.2,4.8,31.5,21.4
67.8,8.3,0.0,9.85,41.4,1.0,11.3,3.0,67.8,97.2
57.3,26.0,89.1,0.1,100.0,1.0,34.2,8.3,57.3,2.127792517232897
86.1,13.8,3.7,9.98,82.7,0.0,18.6,4.9,101.5,41.9
77.6,3.3,6.2,10.0,42.1,1.0,4.6,1.3,77.6,97.4
75.2,12.1,13.2,10.0,31.2,1.0,23.9,11.8,75.2,100.0
73.4,9.6,23.0,10.0,55.1,1.0,16.6,7.0,73.4,93.9
94.5,12.4,0.8,7.96,54.8,0.0,16.0,3.6,107.4,36.7
59.8,11.2,13.6,9.82,72.4,0.0,16.7,5.5,59.8,67.1
56.0,14.8,7.5,5.74,74.5,1.0,20.9,6.1,56.0,80.5
59.9,6.3,35.9,9.2,55.6,1.0,13.8,7.6,59.9,72.3
110.3,5.1,0.0,8.17,18.0,1.0,8.0,2.9,110.7,43.8
66.9,13.8,22.7,10.0,43.7,1.0,21.2,7.4,66.9,89.5
79.9,3.8,9.3,9.18,58.5,1.0,8.6,4.8,79.9,87.4
43.1,15.4,67.9,3.65,98.5,1.0,24.9,9.5,35.7,0.0
